model,test_set,selection_metric,budget,accuracy
lenet1,mnist,rnd,50,0.9399999976158142
lenet1,mnist,rnd,100,0.9300000071525574
lenet1,mnist,rnd,150,0.9800000190734863
lenet1,mnist,rnd,200,0.9649999737739563
lenet1,mnist,ent,50,0.41999998688697815
lenet1,mnist,ent,100,0.44999998807907104
lenet1,mnist,ent,150,0.47333332896232605
lenet1,mnist,ent,200,0.5299999713897705
lenet1,mnist,gini,50,0.3400000035762787
lenet1,mnist,gini,100,0.4399999976158142
lenet1,mnist,gini,150,0.46666666865348816
lenet1,mnist,gini,200,0.4699999988079071
lenet1,mnist,gd,50,0.9800000190734863
lenet1,mnist,gd,100,0.9599999785423279
lenet1,mnist,gd,150,0.9399999976158142
lenet1,mnist,gd,200,0.9549999833106995
lenet1,mnist,kmnc,50,0.9800000190734863
lenet1,mnist,kmnc,100,0.9200000166893005
lenet1,mnist,kmnc,150,0.9599999785423279
lenet1,mnist,kmnc,200,0.949999988079071
lenet1,mnist,nac,50,1.0
lenet1,mnist,nac,100,1.0
lenet1,mnist,nac,150,0.6666666865348816
lenet1,mnist,nac,200,1.0
lenet4,mnist,rnd,50,1.0
lenet4,mnist,rnd,100,0.9599999785423279
lenet4,mnist,rnd,150,0.9666666388511658
lenet4,mnist,rnd,200,0.9750000238418579
lenet4,mnist,ent,50,0.41999998688697815
lenet4,mnist,ent,100,0.4699999988079071
lenet4,mnist,ent,150,0.5133333206176758
lenet4,mnist,ent,200,0.5450000166893005
lenet4,mnist,gini,50,0.41999998688697815
lenet4,mnist,gini,100,0.46000000834465027
lenet4,mnist,gini,150,0.5133333206176758
lenet4,mnist,gini,200,0.5350000262260437
lenet4,mnist,gd,50,0.9599999785423279
lenet4,mnist,gd,100,0.9800000190734863
lenet4,mnist,gd,150,0.9933333396911621
lenet4,mnist,gd,200,0.9800000190734863
lenet4,mnist,kmnc,50,0.8999999761581421
lenet4,mnist,kmnc,100,0.9200000166893005
lenet1,mnist,dsa,50,0.9399999976158142
